agr;site_type;numero_de_site;hopital;site;adresse;post;commune;telefon;website;langue;region;province;region_hospitalier;type_hopital;statut;a;a1;a2;c;cd;d;e;g;ib_ptca_adultes;k;k1;k2;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;total_lits;capacite-fusion;remarques;officine_hospitaliere;imagerie_medicale_avec_scanner;tomographe_a_resonance_magnetique_rmn;scanner-pet;radiotherapie;centre_de_dialyse;programme_de_soins_pathologie_cardiaque_a;programme_de_soins_pathologie_cardiaque_b3;programme_de_soins_pathologie_cardiaque_b1-b2;programme_de_soins_pathologie_cardiaque_c;programme_de_soins_pathologie_cardiaque_e;programme_de_soins_pathologie_cardiaque_p;programme_de_soins_pathologie_cardiaque_t;collaboration_ou_association_concernant_programme_de_soins_pathologie_cardiaque;programme_de_soins_de_base_soins_de_l_avc;programme_de_soins_specialise_soins_de_l_avc_impliquant_des_procedures_invasives;programme_de_soins_medecine_de_la_reproduction_type_a;programme_de_soins_medecine_de_la_reproduction_type_b;association_concernant_du_programme_de_soins_medecine_de_la_reproduction;programme_de_soins_d_oncologie;programme_de_soins_de_base_en_oncologie;programme_coordinateur_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein_clinique_du_sein_satellite;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_pour_enfants;programme_de_soins_pour_le_patient_geriatrique_service_de_gériatrique;programme_de_soins_pour_le_patient_geriatrique_consultation_gériatrique;programme_de_soins_pour_le_patient_geriatrique_l_hôpital_de_jour_pour_le_patient_gériatrique;programme_de_soins_pour_le_patient_geriatrique_liaison_interne;programme_de_soins_pour_le_patient_geriatrique_liaison_externe;soins_intensifs;soins_neonatals_locaux_nx;soins_perinatals_regionaux;liaison_pediatrique;urgences;smur;banque_de_sang_hospitaliere;soins_palliatifs;hospitalisation_chirurgical_de_jour;hospitalisation_non_chirurgical_de_jour;coordination_locale_des_donateurs;fonction_de_mediateur;centre_de_transplantation;centre_pour_la_reproduction_humaine;centre_de_traitement_de_grands_brules;centre_d_expertise_pour_les_patients_comateux;centre_de_la_mucoviscidose;service_anatomopathologie
043;SP;1730;CLINIQUE SAINT PIERRE;;AVENUE REINE FABIOLA 9;1340;OTTIGNIES;010/43.72.11;www.cspo.be;F;W;Brabant Wallon;Brabant Wallon;Hôpital général;Privé;30;;;144;15;156;26;24;;;;;;24;;;;;6;;;;;;;;;425;;;Officine Hospitaliere;Imagerie médicale avec scanner ;X (1);;Collaboration avec Cliniques Universitaires St. Luc à Bruxelles (403);Centre de dialyse;X;;;;X;X;;;;;X;;;Programme de soins d'oncologie;;Programme coordinateur de soins oncologiques spécialisé pour le cancer du sein ;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;Coordination locale des donneurs;;;;;;;
046;SP;2250;"WOONZORG- & REVALIDATIECENTRUM ""DE DENNEN""";;NOOITRUST 18;2390;MALLE;03/380.15.30;www.dedennen.be;N;V;Antwerpen;Voorkempen;Gespecialiseerd ziekenhuis;Privaat;;;;;;;;;;;;;;;;;;;;;38;;;;;;;38;;;Ziekenhuisapotheek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Palliatieve Zorgen;;;;;;;;;;
049;SP;1010;ALGEMEEN ZIEKENHUIS ST.-JAN BRUGGE-OOSTENDE;ST. JAN;RUDDERSHOVE 10;8000;BRUGGE;050/45.21.11;www.azbrugge.be;N;V;West-Vlaanderen;Brugge;Algemeen ziekenhuis met universitair karakter;Openbaar;50;18;;271;;244;33;84;;;;;;38;15;;;;;;;;;;;;;753;1221;;Ziekenhuisapotheek;Medische Beeldvorming met scanner (2 toestellen);X (2);Associatie mbt. de gezamelijke exploitatie van een dienst nucleaire geneeskunde waarin een PET-scanner is opgesteld, de dienst is gelokaliseerd in het A.Z. Groeninge (campus Onze Lieve Vrouw) Reepkaai 4 te 8500 Kortrijk;Radiotherapie;Dialysecentrum;X;X;;;X;X;;;;;;X;;Zorgprogramma oncologie;;Coördinerend gespecialiseerd oncologisch zorgprogramma voor borstkanker;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult ;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;Regionale Perinatale zorgen;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
049;SS;1020;ALGEMEEN ZIEKENHUIS ST.-JAN BRUGGE-OOSTENDE;ST. FRANCISCUS - XAVERIUS;SPAANSE LOSKAAI 1;8000;BRUGGE;050/47.04.70;;N;V;West-Vlaanderen;Brugge;;;30;;;;;;;60;;;;;;;;;20;20;9;;;;;;;;;139;;S4- bedden worden uitgebaat in associatie met AZ St. Lucas te Brugge;;;;;;;;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;;;;;;;;;;Expertisecentrum voor comapatiënten (5 bedden);;
049;SS;1930;ALGEMEEN ZIEKENHUIS ST.-JAN BRUGGE-OOSTENDE;HENRI SERRUYS;KAIROSTRAAT 84;8400;OOSTENDE;059/55.51.11;;N;V;West-Vlaanderen;Oostende;;;30;10;;87;;114;15;60;;;;;;13;;;;;;;;;;;;;;329;;;;Medische Beeldvorming met scanner;;;;;X;;;;X;X;;;;;;;;Zorgprogramma oncologie;;;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met Algemeen Ziekenhuis Damiaan (campus St. Jozef) - Oostende;;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
057;SP;2700;JAN YPERMAN ZIEKENHUIS Vzw;IEPER;BRIEKESTRAAT 12;8900;IEPER;057/35.35.35;www.yperman.net;N;V;West-Vlaanderen;Ieper;Algemeen ziekenhuis;Privaat;;;;129;;154;35;76;;;;;;33;;;22;;6;;21;;;;;;;476;500;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;X (1);;;Dialysecentrum;X;;X;;;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met het Algemeen Ziekenhuis Delta, Roeselare (117);;;;;;Zorgprogramma oncologie;;Coördinerend gespecialiseerd oncologisch zorgprogramma voor borstkanker;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
057;SS;1120;JAN YPERMAN ZIEKENHUIS Vzw;POPERINGE;OOSTLAAN 11;8970;POPERINGE;057/35.35.35;;N;V;West-Vlaanderen;Ieper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Medische beeldvorming met scanner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
057;SS;3530;JAN YPERMAN ZIEKENHUIS Vzw;WERVIK;STEENAKKER 30;8940;WERVIK;;;N;V;West-Vlaanderen;Ieper;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
063;SP;2100;ALGEMEEN ZIEKENHUIS TURNHOUT;ST. JOZEF;STEENWEG OP MERKSPLAS 44;2300;TURNHOUT;014/44.41.11;www.azturnhout.be;N;V;Antwerpen;Turnhout;Algemeen ziekenhuis;Privaat;30;;;71;;32;40;50;;;;;;65;;;20;;;;;;;;;;;308;650;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;;;;Dialysecentrum;X;;;;;X;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
063;SS;1280;ALGEMEEN ZIEKENHUIS TURNHOUT;ST. ELISABETH;RUBENSSTRAAT 166;2300;TURNHOUT;014/40.60.11;;N;V;Antwerpen;Turnhout;;;;;;76;;190;;48;;;;;;;;;;20;8;;;;;;;;;342;;;;Medische Beeldvorming met scanner;X (1);;Radiotherapie;;X;;X;;;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met de Universitaire Ziekenhuizen K.U.L. Leuven;;;;;;Zorgprogramma oncologie;;Coördinerend gespecialiseerd oncologisch zorgprogramma voor borstkanker;;;;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
068;SP;2870;CENTRE HOSPITALIER REGIONAL DE HUY;;RUE TROIS PONTS 2;4500;HUY;085/27.21.11;www.chrh.be;F;W;Liège;Huy - Waremme;Hôpital général à caractère universitaire;Public;30;;;77;30;104;26;28;;;;;;22;;;;;;;;;;;;;;317;;;Officine Hospitalière;Imagerie médicale avec scanner;;;;Centre de dialyse;X;;B1;;X;X;;"B1 = collaboration avec C.H.U. de Liège ""Sart-Tilman"" - Liège";;;;;;Programme de soins d'oncologie;;;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;Hospitalisation non chirurgicale de jour;Coordination locale des donneurs;;;;;;;
076;SP;1520;CENTRE HOSPITALIER UNIV. ST.-PIERRE;PORTE DE HAL / HALLEPOORT;RUE HAUTE 322;1000;BRUXELLES--1;02/535.31.11;www.stpierre-bru.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;A.Z. met univ. karakter - Hôpital général à caractère univ.;Openbaar - Public;;;;113;;111;40;24;;;;;30;59;15;;;;6;;;;;;;;;398;626;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;X (1);;;;X;X;;;X;X;;;X;;;X;;Programme de soins d'oncologie - Zorgprogramma oncologie;;;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker -  Programme de soins oncologiques spécialisé pour le cancer du sein;Zorgprogramma voor kinderen - Programme de soins pour enfants;;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux ;Regionale Perinatale zorgen - Soins Périnatals Régionaux;;Gespecialiseerde Spoedgevallenzorg - Soins urgents Spécialisés;Mobiele Urgentiegroep (MUG) - Service Mobile d'Urgence (SMUR);Ziekenhuisbloedbank - Banque de sang hospitalière;Palliatieve zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;Coordination locale des donneurs;;;;;;;
076;SS;1500;CENTRE HOSPITALIER UNIV. ST.-PIERRE;CESAR DE PAEPE;RUE DES ALEXIENS 11;1000;BRUXELLES--1;02/506.71.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;;;30;;;;;;;26;;;;;;;;32;20;;;;;;;;;;;108;;;;Medische beeldvorming met scanner - Imagerie médicale avec scanner;;;;;;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg - Programme de soins de base en oncologie;;;;;dienst voor geriatrie - service de gériatrique;;;;;;;;;Eerste opvang van spoedgevallen - Premier Prise à Charge des Urgences;;;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;Niet- chirurgische daghospitalisatie - Hospitalisation non chirurgicale de jour;;Ombudsfunctie - Fonction de médiateur;;;;;;
076;SS;2410;CENTRE HOSPITALIER UNIV. ST. PIERRE;PACHECO;RUE DU GRAND HOSPICE 7;1000;BRUXELLES--1;02/226.42.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;;;;;;;;;;46;;;;;;;;;;;;;74;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ombudsfunctie - Fonction de médiation;;;;;;
077;SP;1570;CENTRE HOSPITALIER UNIVERSITAIRE BRUGMANN;VICTOR HORTA;PLACE A. VAN GEHUCHTEN 4;1020;BRUXELLES--2;02/477.21.11;www.chu-brugmann.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;A.Z. met univ. karakter - Hôpital général à caractère univ.;Openbaar - Public;123;30;;112;;163;;72;;15;;;;52;;;;55;10;;;;;;;;;632;854;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;X (1);;;Dialysecentrum - Centre de dialyse /Le département pédiatrique de traitement de l'insuffisance rénale chronique dans l'HUDERF (150);X;X;;;X;X;;B = association avec CHU St. Pierre - Bruxelles;X;;;;;Programme de soins d'oncolgie - Zorgprogramma oncologie;;;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker / Programme de soins oncologiques spécialisé pour le cancer du sein;;dienst voor geriatrie - service de gériatrique;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux;Samenwerking met / collaboration avec Hôpital Univ. Des Enfants Reine Fabiola (HUDERF) - Bruxelles;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;Ziekenhuisbloedbank - Banque de sang hospitalière;Palliatieve zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;Coordination locale des donneurs;Ombudsfunctie - Fonction de médiateur;;;;Expertisecentrum voor comapatiënten (4 bedden) - Centre d'expertise pour les patients comateux (4 lits);;
077;SS;1590;CENTRE HOSPITALIER UNIVERSITAIRE BRUGMANN;PAUL BRIEN;RUE DU FOYER SCHAERBEEKOIS 36;1030;BRUXELLES--3;02/477.21.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;;;;;;16;34;16;;60;;;;;;;;;;;;;;;;;;;;126;;;;Medische beeldvorming met scanner - Imagerie médicale avec scanner;;;;;;;;;;;;;;;;;;;Programme de soins de base en oncologie - Zorgprogramma oncologische basiszorg;;;;;dienst voor geriatrie - service de gériatrique;;;;;Intensieve Zorgen - Soins Intensifs;;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;Mobiele Urgentiegroep (MUG) - Service Mobile d'Urgence (SMUR);;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;;;;;;
077;SS;1571;CENTRE HOSPITALIER UNIVERSITAIRE BRUGMANN;REINE ASTRID;RUE BRUYN 1;1120;BRUXELLES;02/477.21.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;;;;;;;;;;;;;;;;;;24;30;;;42;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
079;SP;1510;INSTITUT JULES BORDET;;RUE HEGER BORDET 1;1000;BRUXELLES--1;02/541.31.11;www.bordet.be;F;B;Brussel-Bruxelles;Bruxelles - Brussel;A.Z. met univ. karakter - Hôpital général à caractère univ.;Openbaar - Public;;;;;160;;;;;;;;;;;;;;;;;;;;;;;160;;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;X (2);Pet- scanner - Scanner pet;Radiotherapie - Radiothérapie;;;;;;;;;;;;;;;Zorgprogramma oncologie - Programme de soins d'oncologie;;;;Programme de soins oncologiques spécialisé pour le cancer du sein;;;;;;;Soins Intensifs;;;;Eerste opvang van spoedgevallen - Premier Prise à Charge des Urgences;;;Palliatieve zorgen - Soins Palliatifs;;Hospitalisation non chirurgicale de jour;;Ombudsfunctie - Fonction de médiateur;;;;;;
087;SP;1530;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;BARON LAMBERT;RUE BARON LAMBERT 38;1040;BRUXELLES--4;02/739.84.11;www.his-izz.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;Openbaar - Public;;;;;;;;;;;;;;;;;;;;;;;;;;;;;610;;;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;;;;;;
087;SS;1540;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;JOSEPH BRACOPS;RUE DOCTEUR HUET 79;1070;BRUXELLES--7;02/556.12.12;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;;;;;;25;37;24;;71;;;;;;;;24;;;;;;;;;;;;181;;;;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;;;;;X;;;;;X;;;;;;;;;Zorgprogramma oncologische basiszorg - Programme de soins de base en oncologie;;;;;dienst voor geriatrie - service de gériatrique;geriatrisch consult - consultation gériatrique;;;externe liaison - liaison externe;Intensieve Zorgen - Soins Intensifs;;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;Ziekenhuisbloedbank - Banque de sang hospitalière;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;;;;;;
087;SS;1550;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;MOLIERE LONGCHAMP;RUE MARCONI 142;1190;BRUXELLES-19;02/348.51.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;;;30;;;25;35;26;;30;;;;;;;;;24;24;6;;;;;;;;;200;;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;X (1);;;Dialysecentrum - Centre de dialyse;;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg - Programme de soins de base en oncologie;;;;;dienst voor geriatrie - service de gériatrique;;;;;Intensieve Zorgen - Soins Intensifs;;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;Ziekenhuisbloedbank - Banque de sang hospitalière;Palliative zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;Ombudsfunctie - Fonction de médiateur;;;;;;
087;SS;1560;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;ETTERBEEK-IXELLES/ELSENE;RUE JEAN PAQUOT 63;1050;BRUXELLES--5;02/641.41.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;;;;;;47;33;48;20;24;;;;;;57;;;;;;;;;;;;;;229;;;;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;;;;;;;;;;;;;;;;;;Zorgprogramma oncologie - Programme de soins d'oncologie;;;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen - Programme de soins pour enfants;dienst voor geriatrie - service de gériatrique;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;Ziekenhuisbloedbank - Banque de sang hospitalière;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;Coordination locale des donneurs;;;;;;;
095;SP;2310;PROVINCIAAL ZORGCENTRUM LEMBERGE APB;;SALISBURYLAAN 100;9820;MERELBEKE;09/272.20.00;;N;V;Oost-Vlaanderen;Gent - Eeklo;Gespecialiseerd ziekenhuis;Openbaar;;;;;;;;;;;;;;;;;;;;63;;;;;;;;63;;;Ziekenhuisapotheek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Palliatieve Zorgen;;;;;;;;;;
096;SP;3220;CENTRE HOSPITALIER UNIVERSITAIRE TIVOLI;;AVENUE MAX BUSET 34;7100;LA LOUVIERE;064/27.61.11;www.chu-tivoli.be;F;W;Hainaut;La Louvière;Hôpital général à caractère universitaire;Privé;45;;;120;14;176;28;72;;;;;;28;15;;20;;;;;;;;;;;518;;;Officine Hospitaliere;Imagerie médicale avec scanner;X (1);;Service de radiothérapie (Collaboration avec Institut Jules Bordet à Bruxelles - exploité sur 2 sites);Centre de dialyse;X;X;;;X;X;;Association programme B3 avec CHU de Bruxelles - Hôpital Erasme, Bruxelles (406);;;;;;Programme de soins d'oncologie;;Programme coordinateur de soins oncologiques spécialisé pour le cancer du sein ;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;Soins Périnatals Régionaux;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec Centre Hospitalier de Jolimont - Lobbes (site Jolimont) - Haine-Saint-Paul;Banque de sang hospitalière;Soins Palliatifs;Hospitalisation chirurgicale de jour;;Coordination locale des donneurs;;;;;;;
097;SP;1260;HEILIG HART ZIEKENHUIS V.Z.W.;;MECHELSESTRAAT 24;2500;LIER;03/491.23.45;www.hhzhlier.be;N;V;Antwerpen;Lier;Algemeen ziekenhuis;Privaat;29;4;;176;;112;25;81;;;;;;44;;;22;;6;22;;;;;;;;521;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;X (1);;;Dialysecentrum;X;;;;;X;;;;;;;;Zorgprogramma oncologie;;;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische daghospitalisatie;;Lokale donorcoördinatie;;;;;;;
099;SP;1290;GZA- ZIEKENHUIZEN;ST. AUGUSTINUS;OOSTERVELDLAAN 24;2610;WILRIJK;03/443.30.11;www.gza.be;N;V;Antwerpen;Antwerpen;Algemeen ziekenhuis met universitair karakter;Privaat;;;;223;;193;20;44;;;;;;49;15;;20;;12;;;;;;;;;576;1020;;Ziekenhuisapotheek;Medische Beeldvorming met scanner (2 toestellen);X (2);Associatie mbt. de gezamelijke exploitatie van een dienst nucleaire geneeskunde waarin een PET-scanner is opgesteld, de dienst is gelokaliseerd in ZNA (Campus Middelheim/Koningin Paola Kinderziekenhuis) Antwerpen;Radiotherapiedienst ;Dialysecentrum;X;;X;;;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met U.Z. Antwerpen, Edegem (300);;;X;;;Zorgprogramma oncologie;;Coördinerend gespecialiseerd oncologisch zorgprogramma voor borstkanker;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;Regionale Perinatale zorgen;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met het ZNA (campus Middelheim) te Antwerpen;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
099;SS;2020;GZA- ZIEKENHUIZEN;ST. VINCENTIUS;ST.-VINCENTIUSSTRAAT 20;2018;ANTWERPEN-1;03/285.20.00;;N;V;Antwerpen;Antwerpen;;;60;5;;66;;97;24;48;;;;;;24;;;;;;;;;;;;;;324;;;;Medische Beeldvorming met scanner;X (1);;;;X;;;;;;;;;;;;;Zorgprogramma oncologie;;;;;Zorgprogramma voor kinderen;dienst voor geriatrie;;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met het ZNA (Campus Stuivenberg) Antwerpen en A.Z. Monica Vzw (Campus Deurne) Antwerpen;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;Associatie m.b.t. de gezamelijke exploitatie van het mucoviscidosecentrum Antwerpen met het Universitair Ziekenhuis te Antwerpen, Edegem;
099;SS;2030;GZA- ZIEKENHUIZEN;ST. JOZEF;MOLENSTRAAT 19;2640;MORTSEL;03/444.12.11;;N;V;Antwerpen;Antwerpen;;;;;;45;;36;;24;;;;;;15;;;;;;;;;;;;;;120;;;;Medische Beeldvorming met scanner;;;;;X;;;;;X;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;dienst voor geriatrie;geriatrisch consult;;;;;Lokale neonatale zorgen;;;Eerste opvang van spoedgevallen;;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
102;SP;2080;HEILIG HARTZIEKENHUIS V.Z.W.;;GASTHUISSTRAAT 1;2400;MOL;014/71.20.00;www.azmol.be;N;V;Antwerpen;Geel;Algemeen ziekenhuis;Privaat;;;;55;;59;16;38;;;;;;15;;;;;;;;;;;;;;183;;Associatie m.b.t. de gezamelijke exploitatie van 30 S2- bedden met A.Z. St. Dimpna, Geel (de bedden zijn gelokaliseerd in het A.Z. St. Dimpna, Geel);Ziekenhuisapotheek;Medische Beeldvorming met scanner;Associatie met A.Z. St. Dimpna, Geel (709);;;;X;;;;;X;;Associatie met UZ Antwerpen, Edegem - GZA- Ziekenhuizen, Wilrijk - Monica, Deurne;;;;;;;Zorgprogramma oncologische basiszorg;;;Associatie mbt de gezamelijke exploitatie van het gespecialiseerd oncologisch zorgprogramma voor borstkanker, het zorgprogramma is gelokaliseerd in het A.Z. St. Dimpna, J.B. Stessensstraat 2, 2440 Geel (709);Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
103;SP;3310;CENTRE HOSPITALIER REGIONAL SAMBRE ET MEUSE;AUVELAIS;RUE CHERE VOIE 75;5060;AUVELAIS;071/26.52.11;www.chrsm.be;F;W;Namur;Namur - Dinant;Hôpital général;Public;30;15;;60;9;74;15;40;;;;;;15;;20;26;20;;;;;;;;;;324;330;;Officine Hospitaliere;Imagerie médicale avec scanner;;;;;X;;;;;X;;;;;;;;;Programme de soins de base en oncologie;;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation chirurgicale de jour;;;;;;;;;
103;SS;3330;CENTRE HOSPITALIER REGIONAL SAMBRE ET MEUSE;FOSSES-LA-VILLE;RUE STE. BRIGIDE 43;5070;FOSSES-LA-VILLE;071/26.53.74;;F;W;Namur;Namur - Dinant;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
