agr;site_type;numero_de_site;hopital;site;adresse;post;commune;telefon;website;region;langue;province;reseau_hospitalier;type_hopital;statut;a;a_j;a_n;b;c;cd;d;e;g;ib_ptca_plus18;k;k_j;k_n;l;m;nic;s1;s2;s3;s4;s5;s6;t;t_j;t_n;tfb;tfp;tg;nombre_total_de_lits_et_ou_de_places_par_site;nombre_total_de_lits_et_ou_places_par_l_hopital;remarques;imagerie_medicale_imagerie_medicale_avec_scanner;imagerie_medicale_resonance_magnetique_nucleaire_rmn;imagerie_medicale_scanner-pet;radiotherapie;centre_de_dialyse;centre_de_transplantation;centre_pour_la_reproduction_humaine;centre_de_traitement_de_grands_brules;programme_de_soins_pathologie_cardiaque;programme_de_soins_pathologie_cardiaque.1;programme_de_soins_pathologie_cardiaque.2;programme_de_soins_pathologie_cardiaque.3;programme_de_soins_pathologie_cardiaque.4;programme_de_soins_pathologie_cardiaque.5;programme_de_soins_pathologie_cardiaque.6;collaboration_ou_association_concernant_programme_de_soins_pathologie_cardiaque;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_de_base_soins_de_l_avc_aigu_s1;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_specialise_soins_de_l_avc_impliquant_des_procedures_invasives_s2;programme_de_soins_medecine_de_la_reproduction;programme_de_soins_medecine_de_la_reproduction.1;association_concernant_du_programme_de_soins_medecine_de_la_reproduction;programme_de_soins_de_base_en_oncologie;programme_de_soins_d_oncologie;programme_coordinateur_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein_clinique_du_sein_satellite;programme_de_soins_specialise_en_hemato-oncologie_pediatrique;programme_de_soins_pour_enfants;programme_de_soins_pour_le_patient_geriatrique_service_de_gériatrique;programme_de_soins_pour_le_patient_geriatrique_consultation_gériatrique;programme_de_soins_pour_le_patient_geriatrique_l_hôpital_de_jour_pour_le_patient_gériatrique;programme_de_soins_pour_le_patient_geriatrique_liaison_interne;programme_de_soins_pour_le_patient_geriatrique_liaison_externe;association_programme_de_soins_pour_le_patient_gériatrique;officine_hospitaliere;officine_hospitaliere.1;soins_intensifs;coordination_locale_des_donateurs;banque_de_sang_hospitaliere;soins_neonatals_locaux_nx;soins_perinatals_regionaux;liaison_pediatrique;premiere_prise_en_charge_des_urgences;soins_urgents_specialises;smur;association_concernant_smur;soins_palliatifs;hospitalisation_chirurgical_de_jour;hospitalisation_non_chirurgical_de_jour;maladies_rares;fonction_de_mediation;centre_d_expertise_pour_les_patients_comateux;centre_d_expertise_pour_les_patients_comateux.1
077;SP;1570;CHU/UVC- BRUGMANN;VICTOR HORTA;PLACE A. VAN GEHUCHTEN 4;1020;BRUXELLES (LAEKEN);02/477.21.11;www.chu-brugmann.be;B;F-N;Brussel-Bruxelles;;A.Z. met univ. karakter - Hôpital général à caractère univ.;Openbaar - Public;123;45;;;72;;163;;72;;15;;;;52;;;;55;10;;;;;;;;;607;853;;X;X (1);;;X  ;Association avec Hôpital Erasme Bruxelles (A/406);;;X;X;;;X;X;;B3 = association avec CHU Saint-Pierre Bruxelles (A/076);X;;;;;;X;X;;;;X;;;;;;X;;X;X;X;X;X;;;X;;;X;X;X;;X;X (4 bedden - lits);
077;SS;1590;CHU/UVC- BRUGMANN;PAUL BRIEN;RUE DU FOYER SCHAERBEEKOIS 36;1030;BRUXELLES (SCHAERBEEK);02/477.21.11;;B;;Brussel-Bruxelles;;;;;;;;40;34;16;;60;;;;;;;;;;;;;;;;;;;;150;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;X;;;;;;;X;X;;;X;X;;;;
077;SS;1571;CHU/UVC- BRUGMANN;REINE ASTRID/KONINGIN ASTRID;RUE BRUYN 1;1120;BRUXELLES (NEDER-OVER-HEMBEEK);02/477.21.11;;B;;Brussel-Bruxelles;;;;;;;;;;;;;;;;;;;;24;30;;;42;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
079;SP;1510;INSTITUT JULES BORDET;;BOULEVARD DE WATERLOO 121-125;1000;BRUXELLES;02/541.31.11;www.bordet.be;B;F-N;Brussel-Bruxelles;;A.Z. met univ. karakter - Hôpital général à caractère univ.;Openbaar - Public;;;;;;160;;;;;;;;;;;;;;;;;;;;;;;160;;;X;X (2);X (1);X;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;X;;X;;;;;;X;;;;X;;X;;X;;
087;SP;1550;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;MOLIERE LONGCHAMP;RUE MARCONI 142;1190;BRUXELLES (FOREST);02/348.51.11;www.his-izz.be;B;F-N;Brussel-Bruxelles;;Algemeen ziekenhuis - Hôpital général;Openbaar - Public;30;;;;26;29;26;;30;;;;;;;;;24;24;6;;;;;;;;;195;550;;X;;;;;Association avec Hôpital Erasme Bruxelles (A/406);;;X;;;;;X;;;X;;;;;X;;;;;;;;;;;;X;;X;;X;;;;;X;;;X;X;;;X;;
087;SS;1530;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;BARON LAMBERT (Siège sociale/Maatschappelijke zetel);RUE BARON LAMBERT 38;1040;BRUXELLES (ETTERBEEK);02/739.84.11;;B;;Brussel-Bruxelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;
087;SS;1540;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;JOSEPH BRACOPS;RUE DOCTEUR HUET 79;1070;BRUXELLES (ANDERLECHT);02/556.12.12;;B;;Brussel-Bruxelles;;;;;;;;26;38;26;;56;;;;;;;;24;;;;;;;;;;;;170;;;X;X (1);;;X;;;;X;;;;;X;;;;;;;;X;;;;;;X;;;;;;;;X;;X;;;;;X;;;;X;X;;X;;
087;SS;1560;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;ETTERBEEK-IXELLES/ELSENE;RUE JEAN PAQUOT 63;1050;BRUXELLES (ELSENE);02/641.41.11;;B;;Brussel-Bruxelles;;;;;;;;26;42;26;20;39;;;;;;32;;;;;;;;;;;;;;185;;;X;X (1);;;;;;;X;;;;;X;;;;;;;;;X;X;;;X;;;;;;;;;X;X;X;X;;;;X;X;"Association ""Bruxelles - SMUR""";;X;X;;X;;
096;SP;3220;CHU TIVOLI;;AVENUE MAX BUSET 34;7100;LA LOUVIERE;064/27.61.11;www.chu-tivoli.be;W;F;Hainaut;;Hôpital général à caractère universitaire;Privé;45;;;;120;14;176;28;72;;;;;;28;15;;20;;;;;;;;;;;518;;;X;X (2);;X ;X;;;;X;X;;;X;X;;Association programme B3 avec Hôpital Erasme Bruxelles (A/406);;;;;;;X;X;;;X;X;;;;;;X;;X;X;X;X;X;;;X;X;Exploité en alternance avec Groupe Jolimont, Site Hôpital de Jolimont, Haine-Saint-Paul (A/146);X;X;X;;;;
097;SP;1260;ALGEMEEN ZIEKENHUIS HEILIG HART;;MECHELSESTRAAT 24;2500;LIER;03/491.23.45;www.heilighartlier.be;V;N;Antwerpen;BRIANT Vzw;Algemeen ziekenhuis;Privaat;29;4;;;152;;88;25;81;;;;;;22;;;22;;6;22;;;;;;;;451;;;X;X (1);Associatie met PET-CT Centrum Vesalius Bonheiden (E. 689);;X;;;;X;;;;;X;;;;;;;;;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;2021-07-01 00:00:00
099;SP;1290;GZA- ZIEKENHUIZEN;SINT-AUGUSTINUS;OOSTERVELDLAAN 24;2610;WILRIJK;03/443.30.11;www.gzaziekenhuizen.be;V;N;Antwerpen;Netwerk GZA - ZNA Vzw;Algemeen ziekenhuis met universitair karakter;Privaat;;;;;193;;204;24;68;;;;;;64;15;;;;;;;;;;;;;568;1012;;X ;X (2);X (1) (Associatie DA VINCI PET/CT- Centrum);X  (Iridium netwerk Antwerpen);X;;;;X;;X;;;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met UZA Edegem (E. 300);;;X;;;;X;X;;;X;X;X;;X;X;;X;;X;X;X;X;X;;;X;X;Alternerende werking met het ZNA, Campus Middelheim Antwerpen (E. 009);X;X;X;;;;
099;SS;2020;GZA- ZIEKENHUIZEN;SINT-VINCENTIUS;ST.-VINCENTIUSSTRAAT 20;2018;ANTWERPEN-1;03/285.20.00;;V;;Antwerpen;;;;60;5;;;110;;69;20;48;;;;;;24;;;;;;;;;;;;;;336;;;X;X (1);;;;;;;X;;;;;X;;;;;;;;;X;;;;X;X;X;;;;;;;X;X;X;X;;;;X;X;Alternerende werking met het ZNA, Campus Stuivenberg Antwerpen (E. 009) en AZ Monica, Campus Deurne (E. 682);;X;X;;;;
099;SS;2030;GZA- ZIEKENHUIZEN;SINT-JOZEF;MOLENSTRAAT 19;2640;MORTSEL;03/444.12.11;;V;;Antwerpen;;;;;;;;;;30;;24;;;;;;;;;20;;12;;22;;;;;;;108;;;X;;;;;;;;X;;;;;;;;;;;;;X;;;;;;X;X;X;;;;;;;;X;;;;X;;;;;X;X;;;;
102;SP;2080;H. HART ZIEKENHUIS;;GASTHUISSTRAAT 1;2400;MOL;014/71.20.00;www.azmol.be;V;N;Antwerpen;KEMPEN Vzw;Algemeen ziekenhuis;Privaat;;;;;55;;59;16;38;;;;;;15;;;;;;;;;;;;;;183;;Associatie m.b.t. de gezamelijke exploitatie van 30 S2- bedden met Ziekenhuis Geel (de bedden zijn gelokaliseerd in Ziekenhuis Geel E. 709);X;Associatie met Ziekenhuis Geel (E. 709);;;;;;;X;;;;;X;;Associatie zorgprogramma B3 en deelprogramma B1-B2 met UZA, Edegem (E. 300), GZA- Ziekenhuizen Wilrijk (E. 099) & AZ Monica Deurne (E. 682);;;;;;X;;Associatie met Ziekenhuis Geel (E. 709);;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;;;X;X;X;;;;
103;SP;3310;CHR SAMBRE ET MEUSE;SAMBRE;RUE CHERE VOIE 75;5060;AUVELAIS;071/26.52.11;www.chrvs.be / www.chrsm.be;W;F;Namur;;Hôpital général;Public;30;15;;;40;9;67;15;40;;;;;;15;;20;26;20;;;;;;;;;;297;303;;X;Association avec CHU-UCL Namur Site Dinant (A/264);;;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;;;;X;;;;;;;;X;;;;;X;X;;;;;;X;;X;;X;X;;;;X;X;;X;X;;;;;
103;SS;3330;CHR SAMBRE ET MEUSE;RESIDENCE DEJAIFVE - FOSSES-LA-VILLE;RUE STE. BRIGIDE 43;5070;FOSSES-LA-VILLE;071/26.52.11;;W;;Namur;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;SP;1270;AZ RIVIERENLAND;RUMST;'S HERENBAAN 172;2840;RUMST;03/880.90.11;www.azrivierenland.be;V;N;Antwerpen;HELIX Vzw;Algemeen ziekenhuis;Privaat;;;;;86;;62;;60;;;;;;;;;;;;;;;;;;;;208;440;;X;X (1);Associatie met DA VINCI PET/CT- centrum - gelokaliseerd in ZNA (E. 009) - GZA (E. 099) - UZA (E. 300);;;;;;X;;;;;X;;;;;;;;X;;;;;;X;X;X;X;X;;X;;X;;X;;;;;X;;;X;X;X;;;;
104;SS;2060;AZ RIVIERENLAND;BORNEM;KASTEELSTRAAT 23;2880;BORNEM;03/890.16.11;;V;;Antwerpen;;;;;;;;66;;60;;60;;;;;;26;;;20;;;;;;;;;;;232;;;X;;;;;;;;X;;;;;X;;;;;;;;X;;;;;;X;X;;;;;;;X;X;X;X;;;;X;;;;X;X;;;;
104;SS;2110;AZ RIVIERENLAND;WILLEBROEK;TISSELTSESTEENWEG 27;2830;WILLEBROEK;03/890.16.11;;V;;Antwerpen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;X;;;;;;;;;X;X;;;;
106;SP;1340;ALGEMEEN ZIEKENHUIS SINT-MARIA;;ZIEKENHUISLAAN 100;1500;HALLE;02/363.12.11;www.sintmaria.be;V;N;Vlaams-Brabant;CUROS Vzw;Algemeen ziekenhuis;Privaat;30;6;;;70;;74;15;50;;;;;;20;;30;29;;6;;20;;;;;;;350;;;X;X (1);;;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;X;X;;X;;X;;X;X;;;;X;X;;X;X;X;;;;
108;SP;1360;REGIONAAL ZIEKENHUIS HEILIG HART;;NAAMSESTRAAT 105;3000;LEUVEN;016/20.92.11;www.hhleuven.be;V;N;Vlaams-Brabant;PLEXUS Vzw;Algemeen ziekenhuis;Privaat;;;;;69;;67;15;72;;;;;;38;;;;20;6;;;;;;;;;287;;;X;X (1) ;Associatie met PET-CT Centrum Vesalius Bonheiden (E. 689);;;;;;X;;;;;X;;;;;;X;;X;;;;;X;X;X;X;X;X;;X;;X;;X;X;;;;X;;;X;X;X;;;;
109;SP;1370;RZ TIENEN;MARIENDAL;KLINIEKSTRAAT 45;3300;TIENEN;016/80.90.11;www.rztienen.be;V;N;Vlaams-Brabant;PLEXUS Vzw;Algemeen ziekenhuis;Privaat;;;;;73;;74;15;22;;;;;;17;;;;;;;;;;;;;;201;288;;X ;X (1);Associatie met PET-CT Centrum Vesalius Bonheiden (E. 689);;;;;;X;;;;;X;;;;;;;;;X;;;;X;X;X;;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;2021-07-29 00:00:00
109;SS;1390;RZ TIENEN;ST. -JAN;HOUTEMSTRAAT 115;3300;TIENEN;016/80.90.11;;V;;Vlaams-Brabant;;;;30;;;;;;;;30;;;;;;;;;27;;;;;;;;;;;87;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;X;;;;;;;;;;;;;;;;;;X;;;;
109;SS;1380;RZ TIENEN;MEDISCH CENTRUM AARSCHOT;LANGDORPSESTEENWEG 129;3200;AARSCHOT;016/55.17.11;;V;;Vlaams-Brabant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;;;;;X;X;;;;
110;SP;1310;KLINIEK SINT-JAN - CLINIQUE SAINT-JEAN;KRUIDTUIN / BOTANIQUE;KRUIDTUINLAAN 32;1000;BRUSSEL;02/221.91.11;www.klstjan.be;B;N-F;Brussel-Bruxelles;;Algemeen ziekenhuis - Hôpital général;Privaat - Privé;56;;;;84;;94;15;106;;10;;;;47;;;;;12;;;;;;;;;424;548;;X;X (1); X  (1) (Associatie Bruxelles Pet-Scan Brussel);X;X;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;X;;;X;X;;;;;;;;;X;X;;;X;X;;X;;;;X;;X;X;X;X;;;;X;X;"Association ""Bruxelles - SMUR""";X;X;X;;X;;
110;SS;1480;KLINIEK SINT-JAN - CLINIQUE SAINT-JEAN;MIDDAGLIJN /MERIDIEN;RUE DU MERIDIEN 100;1210;BRUXELLES (SAINT-JOSSE-TEN-NOODE);02/225.91.11;;B;;Brussel-Bruxelles;;;;;23;;;;;;;;;;;;;;;;;;;29;24;;;;;;;76;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
110;SS;2460;KLINIEK SINT-JAN - CLINIQUE SAINT-JEAN;LEOPOLD I;LEOPOLD I STRAAT 314;1090;BRUXELLES (JETTE);02/221.96.08;;B;;Brussel-Bruxelles;;;;;;;;;;;;;;;;;;;;;;;;48;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;SP;1400;EUROPAZIEKENHUIZEN - CLINIQUES DE L'EUROPE;ST- ELISABETH;DE FRELAAN 206;1180;BRUSSEL (UKKEL);02/614.20.00;"www.cliniquesdeleurope.be; www.europaziekenhuizen.be";B;N-F;Brussel-Bruxelles;;Algemeen ziekenhuis - Hôpital général;Privaat - Privé;30;;;;;257;;15;60;;;;;;24;;;20;;12;;;;;;;;;418;709;;X;X (1); X  (1) (Associatie Bruxelles Pet-Scan Brussel);X;X;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;X;;;X;X;;B3 = associatie met Cliniques Universitaires Saint-Luc Bruxelles (A/403);X;;;;;;X;X;;;X;;;;;;;X;;X;X;X;X;;;;X;X;;X;X;X;;X;;
111;SS;1420;EUROPAZIEKENHUIZEN - CLINIQUES DE L'EUROPE;ST- MICHEL;RUE DE LINTHOUT 150;1040;BRUXELLES (ETTERBEEK);02/614.30.00;;B;;Brussel-Bruxelles;;;;30;15;;;;134;;;60;;;;;;24;;;20;;8;;;;;;;;;291;;;X;X (1);;;;;;;X;;;;X;X;;;;;;;;X;;;;;;X;;;;;;;;X;X;X;X;;;;X;;;;X;X;;X;;
117;SP;6210;AZ DELTA;RUMBEKE;DELTALAAN 1;8800;ROESELARE;051/23.71.11;www.azdelta.be;V;N;West-Vlaanderen;TRIaz Vzw;Algemeen ziekenhuis;Privaat;20;;;;204;;259;43;120;;;20;;;46;;;;;9;;20;;;;;;;741;1369;20 k(d)- plaatsen worden uitgebaat in associatie met Jan Yperman Ziekenhuis Ieper (E. 057) en Kliniek St. Jozef Pittem (E.901). 13k(d)- plaatsen zijn gelokaliseerd op de campus Rumbeke, de overige 7 plaatsen zijn tijdelijk gelokaliseerd in Kliniek St. Jozef Pittem.;X ;X (2) ;Associatie met AZ Groeninge Kortrijk (E. 396) en AZ Sint-Jan Brugge (E. 049);X;X;;;;X;X;;;X;X;;;;;X;;;;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
117;SS;1100;AZ DELTA;BRUGSESTEENWEG;BRUGSESTEENWEG 90;8800;ROESELARE;051/23.61.11;;V;;West-Vlaanderen;;;;40;14;;;55;;20;;;;;;;;;;;26;20;;60;;;;;;;;235;;;X ;X (1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X (4 bedden);
117;SS;1960;AZ DELTA;MENEN;OUDE LEIELAAN 6;8930;MENEN;056/52.21.11;;V;;West-Vlaanderen;;;;;;;;35;;63;16;48;;;;;;13;;;20;;;;;;;;;;;195;;;X ;;;;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;;;;;;X;;X;X;;;;X;X;; ;;X;;;;
117;SS;1970;AZ DELTA;TORHOUT;ST.-REMBERTLAAN 21;8820;TORHOUT;050/23.21.11;;V;;West-Vlaanderen;;;;;;;;31;;56;15;58;;;;;;18;;;20;;;;;;;;;;;198;;;X ;Associatie met AZ West Veurne (E. 310);;;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;;;;;;X;X;X;X;;;;X;X;;;X;X;;;;
124;SP;1920;ST- JOZEFSKLINIEK ;;OMMEGANGSTRAAT 7;8870;IZEGEM;051/33.41.11;www.sint-jozefkliniek-izegem.be;V;N;West-Vlaanderen;E17 Vzw;Algemeen ziekenhuis;Privaat;;;;;63;;93;20;54;;;;;;17;;24;;;;;;;;;;;;271;;;X;Associatie met AZ Delta Roeselare (E. 117) en Sint-Andriesziekenhuis Tielt (E. 395);;;;;;;X;;;;;X;;;;;;;;;X;;X;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;;Associatie met AZ Delta Roeselare (E. 117);X;X;X;;;;
126;SP;1780;ONZE-LIEVE-VROUW ZIEKENHUIS;OLV AALST;MOORSELBAAN 164;9300;AALST;053/72.41.11;www.olvz.be;V;N;Oost-Vlaanderen;CUROZ Vzw;Algemeen ziekenhuis;Privaat;30;;;;238;;245;27;61;;;;;;21;;;;;;;;;;;;;;622;844;;X ;X (2);X (1) (PET- Centrum Zuidoost-Vlaanderen);X;X;;;;X;X;;;X;X;X;;;;;;Associatie met AZ Jan Palfijn Gent (E. 713);;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;Alternerende werking met het A.S.Z - Autonome verzorgingsinstelling, Campus Aalst (E. 176);X;X;X;;;;
126;SS;1300;ONZE-LIEVE-VROUW ZIEKENHUIS;OLV ASSE;BLOKLAAN 5;1730;ASSE;02/300.61.11;;V;;Vlaams-Brabant;;;;30;5;;;47;;50;15;24;;;;;;15;;;;;6;;;;;;;;;192;;;X;;;;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;;;;;;;;X;X;;;;X;;;;X;X;;;;
126;SS;1790;ONZE-LIEVE-VROUW ZIEKENHUIS;OLV NINOVE;BIEZENSTRAAT 2;9400;NINOVE;054/31.21.11;;V;;Oost-Vlaanderen;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;30;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;
134;SP;1830;AZ SINT - VINCENTIUS;;SCHUTTERIJSTRAAT 34;9800;DEINZE;09/387.71.11;www.azstvdeinze.be;V;N;Oost-Vlaanderen;E17 Vzw;Algemeen ziekenhuis;Privaat;;;;;34;;30;15;50;;;;;;16;;;20;;;;;;;;;;;165;;;X;Associatie met O.L.V. van Lourdes Ziekenhuis Waregem (E. 397);Associatie met PET-CT Centrum zorgregio Gent/Eeklo/Deinze ( zie E. 290);;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;X;X;Het zorgprogramma voor de geriatrische patiënt wordt uitgebaat in associatie met het Universitair Ziekenhuis Gent (E. 670);X;;X;;X;X;;;;X;;;X;X;X;;;;
140;SP;1000;AZ SINT - LUCAS;;ST.-LUCASLAAN 29;8310;BRUGGE;050/36.91.11;www.stlucas.be;V;N;West-Vlaanderen;KOM Netwerk Vzw;Algemeen ziekenhuis;Privaat;30;8;;;98;;93;24;72;;25;7;;;22;;;20;20;;;;;;;;;;419;;Associatie mbt. de gezamelijke exploitatie van 9 bedden Sp- palliatieve zorgen met AZ Sint-Jan Brugge, de bedden zijn gelokaliseerd op Campus SFX, Spaanse Loskaai 1 te 8000 Brugge (E. 049);X;X (1);;;X;;;;X;;;;;X;;;;;;;Associatie met AZ Sint-Jan Brugge (E. 049);;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;Associatie met AZ Sint-Jan Brugge (E. 049);;;X;;;X;X;X;;;;2021-07-13 00:00:00
143;SP;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;;LAARBEEKLAAN 101;1090;BRUSSEL (JETTE);02/477.41.11;www.uzbrussel.be;B;N;Brussel-Bruxelles;CUROZ Vzw;Universitair ziekenhuis - Hôpital universitaire;Privaat - Privé;30;;;;268;36;203;57;29;;15;5;;;40;16;;22;;;;;;;;;;;721;;;X;X (3);X (1);X;X;X;X;;X;X;;;X;X;;;;;;X;;;X;X;;;X;X;X;X;X;X;;X;;X;X;;X;X;;;X;X;;X;X;X;X;;;
146;SP;3200;GROUPE JOLIMONT;HOPITAL DE JOLIMONT;RUE FERRER 159;7100;HAINE-SAINT-PAUL;064/23.30.11;www.jolimont.be;W;F;Hainaut;;Hôpital général;Privé;30;;;;140;;168;24;84;;;;;;20;;;;;;40;;;;;;;;506;664;;X;X (2);X (1);X;X;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;X;;;X;X;;;;;;;;;X;X;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;Exploité en alternance avec CHU Tivoli La-Louvière (A/096);X;X;X;;;;
146;SS;3210;GROUPE JOLIMONT;HOPITAL DE LOBBES;RUE DE LA STATION 25;6540;LOBBES;071/59.92.11;;W;;Hainaut;;;;;;;;49;;36;12;48;;;;;;13;;;;;;;;;;;;;;158;;;X;;;;;;;;X;;;;;X;;;;;;;;;X;;X;;X;X;;;;;;;;X;;;X;;;;X;X;;;X;X;;;;
150;SP;3440;HOPITAL UNIVERSITAIRE DES ENFANTS REINE FABIOLA (HUDERF);;AVENUE J.J. CROCQ 15;1020;BRUXELLES (LAEKEN);02/477.33.11;www.huderf.be;B;F-N;Brussel-Bruxelles;;Algemeen ziekenhuis - Hôpital général;Openbaar - Public;;;;;40;;;90;;;15;18;;;;20;;;;;;;;;;;;;183;;;X;X (1);;;Collaboration avec CHU/UVC Brugmann Bruxelles (A/077);Association avec Hôpital Erasme Bruxelles (A/406);;;;;;X;;;;C = samenwerking - collaboration avec CHU/UVC Brugmann  Bruxelles (A/077);;;;;;X;;;;X;X;;;;;;;X;;X;X;;;Samenwerking met / collaboration avec CHU/UVC Brugmann Bruxelles (A/077);X;;X;;;X;X;X;;X;;
152;SP;6200;GROUPE SANTE CHC ;CLINIQUE CHC MONTLEGIA;BOULEVARD DU PATIENCE ET BEAUJONC 2;4000;LIEGE;04/355.50.00;www.chc.be;W;F;Liège;;Hôpital général;Privé;75;;;;108;144;97;67;78;;;;;;70;35;;20;;;;;;;;;;;694;781;;X;X(2);X(1);;;Association avec CHU de Liège (A/707);;;X;;X;;X;X;;Les programmes partiels B1-B2 est utilisé en association avec CHU de Liège (A/707);;;;X;;;X;X;;;X;X;;;;;;X;;X;X;;X;X;;;X;X;Exploité en alternance avec Centre Hospitalier Bois de l'Abbaye, Site Seraing (A/042);X;X;X;;;;
152;SS;2930;GROUPE SANTE CHC ;CLINIQUE CHC WAREMME;RUE DE SELYS LONGCHAMPS 47;4300;WAREMME;019/33.94.11;;W;;Liège;;;;;;;;;43;;;24;;;;;;;;;20;;;;;;;;;;;87;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;X;X;;;;;;X;X;Exploité en alternance avec CH Bois de l'Abbaye, Site Waremme (A/042);;X;X;;;;
158;SP;2940;GROUPE SANTE CHC ;CLINIQUE CHC HERMALLE ;RUE BASSE HERMALLE 4;4681;HERMALLE-SOUS-ARGENTEAU;04/374.70.00;www.chc.be;W;F;Liège;;Hôpital général;Privé;;;;;;54;;;30;;;;;;;;;20;;6;;;;;;;;;110;228;;X;;;;;Association avec CHU de Liège (A/707);;;X;;;;;;;;;;;;;X;;;X;;;X;;;;;;X;;X;X;;;;;;X;;;X;X;X;;;;
158;SS;2970;GROUPE SANTE CHC ;CLINIQUE CHC HEUSY;RUE DU NAIMEUX 17;4802;HEUSY;087/21.31.11;;W;;Liège;;;;;;;;;74;;;24;;;;;;20;;;;;;;;;;;;;;118;;;X;X (1);;;;;;;X;;;;;X;;;;;;;;X;;;X;;;X;;;;;;;;X;X;;X;;;;X;;;;X;X;;;;
164;SP;3230;VIVALIA ;HOPITAL DE MARCHE;RUE DU VIVIER 21;6900;MARCHE-EN-FAMENNE;084/21.91.11;www.vivalia.be;W;F;Luxembourg;;Hôpital général;Public;;;;;48;26;44;15;24;;;;;;23;;;20;;;;;;;;;;;200;;;X;X (1);;;X;Association avec CHU de Liège (A/707);;;X;;;;;X;;;;;;;;;X;;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;2021-07-01 00:00:00
166;SP;3290;CHU-UCL NAMUR;SAINTE-ELISABETH;PLACE LOUISE GODIN 15;5000;NAMUR;081/72.04.11;www.chuuclnamur.be;W;F;Namur;;Hôpital général;Privé;;;;;125;15;69;20;24;;;;;;52;;;;;;;;;;;;;;305;315;;X;X (1);;X Association avec Centre Hospitalier de Mouscron (A/247);X;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;X;;X;X;;Les programmes partiels B1-B2 est utilisé en association avec CHU-UCL Namur - Site Godinne (A/039);;;;;;;X;X;;;X ;X;;;;;;X;;X;X;X;X;;;;X;;;X;X;X;;X;;
