erk;campus_type;vestigingsnr;ziekenhuis;campus;adres;post;gemeente;telefoon;website;taal;gewest;provincie;ziekenhuisregio;soort_ziekenhuis;statuut;a;a1;a2;c;cd;d;e;g;ib_sga_volw;k;k1;k2;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;totaal_bedden;fusie-capaciteit;opmerkingen;ziekenhuisapotheek;medische_beeldvorming_met_scanner;magnetische_resonantie_tomograaf_nmr;pet_scanner;radiotherapie;dialysecentrum;zorgprogramma_cardiale_pathologie;zorgprogramma_reproductieve_geneeskunde_type_a-b;zorgprogramma_oncologie;zorgprogramma_oncologische_basiszorg;gespecialiseerd_oncologisch_zorgpr_voor_borstkanker;zorgprogramma_voor_kinderen;zorgprogramma_voor_de_geriatrische_patient_dienst_voor_geriatrie;zorgprogramma_voor_de_geriatrische_patient_geriatrisch_consult;zorgprogramma_voor_de_geriatrische_patient_dagziekenhuis_voor_de_geriatrische_patiënt;zorgprogramma_voor_de_geriatrische_patient_interne_liaison;zorgprogramma_voor_de_geriatrische_patient_externe_liaison;intensieve_zorg;lokale_neonatale_zorgen_nx;regionale_perinatale_zorg_px;pediatrische_liaison;spoedgevallen;mug;ziekenhuisbloedbank;palliatieve_zorg;chirurgische_daghospitalisatie;niet_chirurgische_daghospitalisatie;lokale_donorcoordinatie;ombudsfunctie;transplantatiecentrum;centrum_voor_menselijke_erfelijkheid;centrum_voor_zware_brandwonden;expertisecentrum_voor_comapatienten;mucoviscidosecentrum;dienst_anatomopathologie
042;SP;2990;CENTRE HOSPITALIER DU BOIS DE L'ABBAYE ET DE HESBAYE;SERAING;RUE LAPLACE 40;4100;SERAING;04/338.70.00;www.chbah.be;F;W;Liège;Liège;Hôpital général à caractère universitaire;Public;;;;121;12;119;15;48;;;;;;27;;20;;;;;;;;;;;;362;462;;Officine Hospitaliere;Imagerie médicale avec scanner;Imagerie médicale tomographe à resonance magnetique (RMN);;;Centre de dialyse;Programme de soins pathologie cardiaque A, E et P ;;Programme de soins d'oncologie;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec Cliniques St. Joseph (site Espérance) - Montegnée;;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;Hospitalisation non chirurgicale de jour;;;;;;;;
042;SS;3000;CENTRE HOSPITALIER DU BOIS DE L'ABBAYE ET DE HESBAYE;JOSEPH WAUTERS - WAREMME;AVENUE DE LA RESISTANCE 2;4300;WAREMME;019/33.80.00;;F;W;Liège;Huy - Waremme;Hôpital général à caractère universitaire;;;;;;39;;;30;;;;;;;;;25;;6;;;;;;;;;100;;;;Imagerie médicale avec scanner;;;;;Programme de soins pathologie cardiaque A et P;;;Programme de soins de base en oncologie;;;;;;;;;;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec Cliniques St. Joseph (site Notre-Dame) - Waremme;;;Hospitalisation chirurgicale de jour;;;;;;;;;
043;SP;1730;CLINIQUE SAINT PIERRE;;AVENUE REINE FABIOLA 9;1340;OTTIGNIES;010/43.72.11;www.clinique-saint-pierre.be;F;W;Brabant Wallon;Brabant Wallon;Hôpital général;Privé;30;;;144;15;156;26;24;;;;;;24;;;;;6;;;;;;;;;425;;;Officine Hospitaliere;Imagerie médicale avec scanner ;Imagerie médicale tomographe à resonance magnetique (RMN);;Collaboration avec Cliniques Universitaires St. Luc à Bruxelles (403);Centre de dialyse;Programme de soins pathologie cardiaque A, B1, E et P (B1 = collaboration avec Cliniques Universitaires St. Luc - Bruxelles);Programme de soins médecine de la reproduction A;Programme de soins d'oncologie;;Programme de soins oncologiques spécialisé pour le cancer du sein;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;;;;;;;
046;SP;2250;"VERPLEEGINRICHTING ""DE DENNEN""";;NOOITRUST 18;2390;MALLE;03/380.15.30;www.dedennen.be;N;V;Antwerpen;Voorkempen;Gespecialiseerd ziekenhuis;Privaat;;;;;;;;;;;;;;;;;;;;38;;;;;;;;38;;;Ziekenhuisapotheek;;;;;;;;;;;;;;;;;;;;;;;;Palliatieve Zorgen;;;;;;;;;;
049;SP;1010;ALGEMEEN ZIEKENHUIS ST.-JAN BRUGGE-OOSTENDE;ST. JAN;RUDDERSHOVE 10;8000;BRUGGE;050/45.21.11;www.azbrugge.be;N;V;West-Vlaanderen;Brugge;Algemeen ziekenhuis met universitair karakter;Openbaar;50;18;;271;;264;33;84;;;;;;38;15;;;;;;;;;;;;;773;1241;;Ziekenhuisapotheek;Medische Beeldvorming met scanner (2 toestellen);Medische beeldvorming met magnetische resonantie tomograaf (NMR) (2 toestellen);Associatie mbt. de gezamelijke exploitatie van een dienst nucleaire geneeskunde waarin een PET-scanner is opgesteld, de dienst is gelokaliseerd in het A.Z. Groeninge (campus Onze Lieve Vrouw) Reepkaai 4 te 8500 Kortrijk;Radiotherapie;Dialysecentrum;Zorgprogramma cardiale pathologie A, B, E en P;Zorgprogramma reproductieve geneeskunde B;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult ;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;Regionale Perinatale zorgen;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
049;SS;1020;ALGEMEEN ZIEKENHUIS ST.-JAN BRUGGE-OOSTENDE;ST. FRANCISCUS - XAVERIUS;SPAANSE LOSKAAI 1;8000;BRUGGE;050/47.04.70;;N;V;West-Vlaanderen;Brugge;Algemeen ziekenhuis met universitair karakter;;30;;;;;;;60;;;;;;;;;20;20;9;;;;;;;;;139;;S4- bedden worden uitgebaat in associatie met AZ St. Lucas te Brugge;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;;;;;;;;;;Expertisecentrum voor comapatiënten (5 bedden);;
049;SS;1930;ALGEMEEN ZIEKENHUIS ST.-JAN BRUGGE-OOSTENDE;HENRI SERRUYS;KAIROSTRAAT 84;8400;OOSTENDE;059/55.51.11;;N;V;West-Vlaanderen;Oostende;Algemeen ziekenhuis met universitair karakter;;30;10;;87;;114;15;60;;;;;;13;;;;;;;;;;;;;;329;;;;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A, E en P;;Zorgprogramma oncologie;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met Algemeen Ziekenhuis Damiaan (campus St. Jozef) - Oostende;;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
051;SP;2380;HOPITAL DE REVALIDATION GERIATRIQUE;;RUE DE LA CHARRETTE 27;1200;BRUXELLES-20;02/777.75.11;www.cpas1200.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Geriatrisch ziekenhuis - Hôpital gériatrique;Openbaar - Public;;;;;;;;95;;;;;;;;;;;;;;;;;;;;95;;;Ziekenhuisapotheek - Officine Hospitaliere;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ombudsfunctie - Fonction de médiateur;;;;;;
053;SP;2460;MAGNOLIA;;LEOPOLD I STRAAT 314;1090;BRUXELLES--9;02/421.00.20;www.magnolia-jette.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Geriatrisch ziekenhuis - Hôpital gériatrique;Privaat - Privé;;;;;;;;30;;;;;;;;;;;;48;;;;;;;;78;;;Ziekenhuisapotheek - Officine Hospitaliere;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ombudsfunctie - Fonction de médiateur;;;;;;
057;SP;2700;JAN YPERMAN ZIEKENHUIS Vzw;IEPER;BRIEKESTRAAT 12;8900;IEPER;057/35.35.35;www.yperman.net;N;V;West-Vlaanderen;Ieper;Algemeen ziekenhuis;Privaat;;;;129;;154;35;76;;;;;;33;;;22;;6;;21;;;;;;;476;500;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;Dialysecentrum;Zorgprogramma cardiale pathologie A en P;;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
057;SS;1120;JAN YPERMAN ZIEKENHUIS Vzw;POPERINGE;OOSTLAAN 11;8970;POPERINGE;057/35.35.35;;N;V;West-Vlaanderen;Ieper;Algemeen ziekenhuis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Medische beeldvorming met scanner;;;;;;;;;;;;;;;;;;;;;;;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
057;SS;3530;JAN YPERMAN ZIEKENHUIS Vzw;WERVIK;STEENAKKER 30;8940;WERVIK;;;N;V;West-Vlaanderen;Ieper;Algemeen ziekenhuis;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
063;SP;2100;ALGEMEEN ZIEKENHUIS TURNHOUT;ST. JOZEF;STEENWEG OP MERKSPLAS 44;2300;TURNHOUT;014/44.41.11;www.azturnhout.be;N;V;Antwerpen;Turnhout;Algemeen ziekenhuis;Privaat;30;;;71;;32;40;50;;;;;;65;;;20;;;;;;;;;;;308;650;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;;;;Dialysecentrum;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
063;SS;1280;ALGEMEEN ZIEKENHUIS TURNHOUT;ST. ELISABETH;RUBENSSTRAAT 166;2300;TURNHOUT;014/40.60.11;;N;V;Antwerpen;Turnhout;Algemeen ziekenhuis;;;;;76;;190;;48;;;;;;;;;;20;8;;;;;;;;;342;;;;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) associatie met AZ Herentals;;Radiotherapie;;Zorgprogramma cardiale pathologie A en P;;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker ;;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
068;SP;2870;CENTRE HOSPITALIER REGIONAL DE HUY;;RUE TROIS PONTS 2;4500;HUY;085/27.21.11;www.chrh.be;F;W;Liège;Huy - Waremme;Hôpital général à caractère universitaire;Public;30;;;77;30;104;26;28;;;;;;22;;;;;;;;;;;;;;317;;;Officine Hospitalière;Imagerie médicale avec scanner;;;;Centre de dialyse;"Programme de soins pathologie cardiaque A, B1, E et P (B1 = collaboration avec C.H.U. de Liège ""Sart-Tilman"" - Liège)";;Programme de soins d'oncologie;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;Hospitalisation non chirurgicale de jour;;;;;;;;
076;SP;1520;CENTRE HOSPITALIER UNIV. ST.-PIERRE;PORTE DE HAL / HALLEPOORT;RUE HAUTE 322;1000;BRUXELLES--1;02/535.31.11;www.stpierre-bru.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;A.Z. met univ. karakter - Hôpital général à caractère univ.;Openbaar - Public;;;;113;;111;40;24;;;;;30;59;15;;;;6;;;;;;;;;398;506;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) - Imagerie médicale tomographe à resonance magnetique (RMN);;;;Programme de soins pathologie cardiaque A, B, E et P ;Zorgprogramma reproductieve geneeskunde B - Programma de soins médecine de la reproduction B;Programme de soins d'oncologie - Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker -  Programme de soins oncologiques spécialisé pour le cancer du sein;Zorgprogramma voor kinderen - Programme de soins pour enfants;;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux ;Regionale Perinatale zorgen - Soins Périnatals Régionaux;;Gespecialiseerde Spoedgevallenzorg - Soins urgents Spécialisés;Mobiele Urgentiegroep (MUG) - Service Mobile d'Urgence (SMUR);Ziekenhuisbloedbank - Banque de sang hospitalière;Palliatieve zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;;;;;;
076;SS;1500;CENTRE HOSPITALIER UNIV. ST.-PIERRE;CESAR DE PAEPE;RUE DES ALEXIENS 11;1000;BRUXELLES--1;02/506.71.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;A.Z. met univ. karakter - Hôpital général à caractère univ.;;30;;;;;;;26;;;;;;;;32;20;;;;;;;;;;;108;;;;Medische beeldvorming met scanner - Imagerie médicale avec scanner;;;;;;;;Zorgprogramma oncologische basiszorg - Programme de soins de base en oncologie;;;dienst voor geriatrie - service de gériatrique;;;;;;;;;Eerste opvang van spoedgevallen - Premier Prise à Charge des Urgences;;;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;Niet- chirurgische daghospitalisatie - Hospitalisation non chirurgicale de jour;;Ombudsfunctie - Fonction de médiateur;;;;;;
077;SP;1570;CENTRE HOSPITALIER UNIVERSITAIRE BRUGMANN;VICTOR HORTA;PLACE A. VAN GEHUCHTEN 4;1020;BRUXELLES--2;02/477.21.11;www.chu-brugmann.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;A.Z. met univ. karakter - Hôpital général à caractère univ.;Openbaar - Public;123;30;;112;;163;;72;;15;;;;52;;;;55;10;;;;;;;;;632;854;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) - Imagerie médicale tomographe à resonance magnetique (RMN);;;Dialysecentrum - Centre de dialyse /Le département pédiatrique de traitement de l'insuffisance rénale chronique dans l'HUDERF (150);Programma de soins pathologie cardiaque A, B, E et P (B = association avec CHU St. Pierre - Bruxelles);;Programme de soins d'oncolgie - Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker / Programme de soins oncologiques spécialisé pour le cancer du sein;;dienst voor geriatrie - service de gériatrique;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux;Samenwerking met / collaboration avec Hôpital Univ. Des Enfants Reine Fabiola (HUDERF) - Bruxelles;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;Ziekenhuisbloedbank - Banque de sang hospitalière;Palliatieve zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;Ombudsfunctie - Fonction de médiateur;;;;Expertisecentrum voor comapatiënten (4 bedden) - Centre d'expertise pour les patients comateux (4 lits);;
077;SS;1590;CENTRE HOSPITALIER UNIVERSITAIRE BRUGMANN;PAUL BRIEN;RUE DU FOYER SCHAERBEEKOIS 36;1030;BRUXELLES--3;02/477.21.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;A.Z. met univ. karakter - Hôpital général à caractère univ.;;;;;16;34;16;;60;;;;;;;;;;;;;;;;;;;;126;;;;Medische beeldvorming met scanner - Imagerie médicale avec scanner;;;;;;;;Programme de soins de base en oncologie - Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie - service de gériatrique;;;;;Intensieve Zorgen - Soins Intensifs;;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;Mobiele Urgentiegroep (MUG) - Service Mobile d'Urgence (SMUR);;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;;;;;;
077;SS;1571;CENTRE HOSPITALIER UNIVERSITAIRE BRUGMANN;REINE ASTRID;RUE BRUYN 1;1120;BRUXELLES;02/477.21.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;A.Z. met univ. karakter - Hôpital général à caractère univ.;;;;;;;;;;;;;;;;;24;30;;;42;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
079;SP;1510;INSTITUT JULES BORDET;;RUE HEGER BORDET 1;1000;BRUXELLES--1;02/541.31.11;www.bordet.be;F;B;Brussel-Bruxelles;Bruxelles - Brussel;A.Z. met univ. karakter - Hôpital général à caractère univ.;Openbaar - Public;;;;;160;;;;;;;;;;;;;;;;;;;;;;;160;;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) (2)- Imagerie médicale tomographe à resonance magnetique (RMN) (2);Pet- scanner - Scanner pet;Radiotherapie - Radiothérapie;;;;Zorgprogramma oncologie - Programme de soins d'oncologie;;Programme de soins oncologiques spécialisé pour le cancer du sein;;;;;;;Soins Intensifs;;;;Eerste opvang van spoedgevallen - Premier Prise à Charge des Urgences;;;Palliatieve zorgen - Soins Palliatifs;;Hospitalisation non chirurgicale de jour;;Ombudsfunctie - Fonction de médiateur;;;;;;
087;SP;1530;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;BARON LAMBERT;RUE BARON LAMBERT 38;1040;BRUXELLES--4;02/739.84.11;www.his-izz.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;Openbaar - Public;;;;;;;;;;;;;;;;;;;;;;;;;;;;;661;;;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;;;;;;;;;;;;;;;;;;;;;;;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;;;;;;
087;SS;1540;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;JOSEPH BRACOPS;RUE DOCTEUR HUET 79;1070;BRUXELLES--7;02/556.12.12;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;;;;;33;37;33;;71;;;;;;;;24;;;;;;;;;;;;198;;;;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;;;;;Zorgprogramma cardiale pathologie A en P - Programme de soins pathologie cardiaque A et P;;;Zorgprogramma oncologische basiszorg - Programme de soins de base en oncologie;;;dienst voor geriatrie - service de gériatrique;geriatrisch consult - consultation gériatrique;;;externe liaison - liaison externe;Intensieve Zorgen - Soins Intensifs;;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;Ziekenhuisbloedbank - Banque de sang hospitalière;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;;;;;;
087;SS;1550;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;MOLIERE LONGCHAMP;RUE MARCONI 142;1190;BRUXELLES-19;02/348.51.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;;30;;;33;35;35;;30;;;;;;;;;24;24;6;;;;;;;;;217;;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) - Imagerie médicale tomographe à resonance magnetique (RMN);;;Dialysecentrum - Centre de dialyse;;;;Zorgprogramma oncologische basiszorg - Programme de soins de base en oncologie;;;dienst voor geriatrie - service de gériatrique;;;;;Intensieve Zorgen - Soins Intensifs;;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;Ziekenhuisbloedbank - Banque de sang hospitalière;Palliative zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;Ombudsfunctie - Fonction de médiateur;;;;;;
087;SS;1560;HOPITAUX IRIS SUD - IRIS ZIEKENHUIZEN ZUID;ETTERBEEK-IXELLES/ELSENE;RUE JEAN PAQUOT 63;1050;BRUXELLES--5;02/641.41.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;;;;;56;33;56;20;24;;;;;;57;;;;;;;;;;;;;;246;;;;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;;;;;;;Zorgprogramma oncologie - Programme de soins d'oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen - Programme de soins pour enfants;dienst voor geriatrie - service de gériatrique;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;Ziekenhuisbloedbank - Banque de sang hospitalière;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;;;;;;
095;SP;2310;PROVINCIAAL ZORGCENTRUM LEMBERGE APB;;SALISBURYLAAN 100;9820;MERELBEKE;09/272.20.00;;N;V;Oost-Vlaanderen;Gent - Eeklo;Gespecialiseerd ziekenhuis;Openbaar;;;;;;;;;;;;;;;;;;;;63;;;;;;;;63;;;Ziekenhuisapotheek;;;;;;;;;;;;;;;;;;;;;;;;Palliatieve Zorgen;;;;;;;;;;
096;SP;3220;CENTRE HOSPITALIER UNIVERSITAIRE TIVOLI;;AVENUE MAX BUSET 34;7100;LA LOUVIERE;064/27.61.11;www.chu-tivoli.be;F;W;Hainaut;La Louvière;Hôpital général à caractère universitaire;Privé;45;;;120;14;176;28;72;;;;;;28;15;;20;;;;;;;;;;;518;;;Officine Hospitaliere;Imagerie médicale avec scanner;Imagerie médicale tomographe à resonance magnetique (RMN);;Service de radiothérapie (Collaboration avec Institut Jules Bordet à Bruxelles - exploité sur 2 sites);Centre de dialyse;Programme de soins pathologie cardiaque A, B, E et P (B = association avec Hôpital Erasme - Bruxelles);;Programme de soins d'oncologie;;Programme de soins oncologiques spécialisé pour le cancer du sein;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;Soins Périnatals Régionaux;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec Centre Hospitalier de Jolimont - Lobbes (site Jolimont) - Haine-Saint-Paul;Banque de sang hospitalière;Soins Palliatifs;Hospitalisation chirurgicale de jour;;;;;;;;;
097;SP;1260;HEILIG HART ZIEKENHUIS V.Z.W.;;MECHELSESTRAAT 24;2500;LIER;03/491.23.45;www.hhzhlier.be;N;V;Antwerpen;Lier;Algemeen ziekenhuis;Privaat;29;4;;176;;112;25;81;;;;;;44;;;22;;6;22;;;;;;;;521;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;Dialysecentrum;Zorgprogramma cardiale pathologie A en P;;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische daghospitalisatie;;Lokale donorcoördinatie;;;;;;;
099;SP;1290;GZA- ZIEKENHUIZEN;ST. AUGUSTINUS;OOSTERVELDLAAN 24;2610;WILRIJK;03/443.30.11;www.gza.be;N;V;Antwerpen;Antwerpen;Algemeen ziekenhuis met universitair karakter;Privaat;;;;223;;220;20;44;;;;;;49;15;;;;12;;;;;;;;;583;1027;;Ziekenhuisapotheek;Medische Beeldvorming met scanner (2 toestellen);Medische beeldvorming met magnetische resonantie tomograaf (NMR) (2)- Imagerie médicale tomographe à resonance magnetique (RMN) (2);Associatie mbt. de gezamelijke exploitatie van een dienst nucleaire geneeskunde waarin een PET-scanner is opgesteld, de dienst is gelokaliseerd in ZNA (Campus Middelheim/Koningin Paola Kinderziekenhuis) te Antwerpen;Radiotherapiedienst ;Dialysecentrum;Zorgprogramma cardiale pathologie A, B1 en P (B1 = samenwerkingsovereenkomst met Universitair Ziekenhuis Antwerpen te Edegem);Zorgprogramma reproductieve geneeskunde A;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;Regionale Perinatale zorgen;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met het Middelheim ZNA (campus Middelheim) te Antwerpen;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
099;SS;2020;GZA- ZIEKENHUIZEN;ST. VINCENTIUS;ST.-VINCENTIUSSTRAAT 20;2018;ANTWERPEN-1;03/285.20.00;;N;V;Antwerpen;Antwerpen;Algemeen ziekenhuis met universitair karakter;;60;5;;66;;97;24;48;;;;;;24;;;;;;;;;;;;;;324;;;;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;;Zorgprogramma cardiale pathologie A;;Zorgprogramma oncologie;;;Zorgprogramma voor kinderen;dienst voor geriatrie;;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met het ZNA - Stuivenberg te Antwerpen en Monica Vzw (Deurne) - Antwerpen;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;Associatie m.b.t. de gezamelijke exploitatie van het mucoviscidosecentrum Antwerpen met het Universitair Ziekenhuis te Antwerpen, Edegem;
099;SS;2030;GZA- ZIEKENHUIZEN;ST. JOZEF;MOLENSTRAAT 19;2640;MORTSEL;03/444.12.11;;N;V;Antwerpen;Antwerpen;Algemeen ziekenhuis met universitair karakter;;;;;45;;36;;24;;;;;;15;;;;;;;;;;;;;;120;;;;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;Lokale neonatale zorgen;;;Eerste opvang van spoedgevallen;;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
